international plan,voice mail plan,number vmail messages,total day minutes,total day charge,total intl minutes,total intl calls,total intl charge,customer service calls,total_call_minutes,total_charges
0,0,0,95.5,16.24,6.6,6,1.78,2,523.4,43.82
0,0,0,112.0,19.04,4.1,4,1.11,4,514.6,46.01
1,0,0,222.4,37.81,8.7,9,2.35,1,757.4,77.32
0,0,0,126.9,21.57,8.0,2,2.16,1,447.7,45.370000000000005
0,0,0,216.3,36.77,4.5,3,1.22,0,696.6,70.26
0,0,0,139.2,23.66,11.8,3,3.19,3,617.1,56.01
0,1,20,239.1,40.65,13.3,3,3.59,5,716.4,74.08000000000001
0,1,36,190.3,32.35,3.8,4,1.03,1,661.8000000000001,64.86
0,1,32,70.9,12.05,11.1,5,3.0,3,482.5,40.239999999999995
0,1,25,137.4,23.36,10.2,6,2.75,2,502.3,49.599999999999994
0,0,0,217.8,37.03,11.3,7,3.05,0,661.2,68.61999999999999
0,0,0,48.4,8.23,18.2,1,4.91,1,548.0,46.86
0,0,0,81.9,13.92,8.9,1,2.4,2,548.8000000000001,47.48
0,1,24,225.5,38.34,9.4,2,2.54,3,678.4,68.54
0,0,0,144.4,24.55,7.1,7,1.92,0,628.5,58.910000000000004
0,0,0,226.3,38.47,8.2,3,2.21,2,743.3,74.91999999999999
0,0,0,98.8,16.8,10.0,4,2.7,3,436.4,40.57
0,0,0,204.9,34.83,10.4,3,2.81,5,548.3,58.5
0,0,0,206.0,35.02,13.2,3,3.56,0,540.0,61.54
0,0,0,178.9,30.41,13.8,3,3.73,4,496.6,55.199999999999996
0,1,32,210.3,35.75,10.8,4,2.92,6,648.6,66.08
0,0,0,94.2,16.01,7.3,3,1.97,1,562.0,49.6
0,1,30,128.5,21.85,6.8,6,1.84,1,571.3,51.150000000000006
0,0,0,190.3,32.35,8.0,3,2.16,1,706.2,69.78
0,1,30,106.5,18.11,5.7,3,1.54,2,520.8,47.32
0,0,0,196.7,33.44,11.2,5,3.02,3,619.2,63.71
1,1,28,95.9,16.3,10.4,3,2.81,1,408.20000000000005,39.550000000000004
0,0,0,213.9,36.36,12.2,5,3.29,3,625.9000000000001,64.26
0,0,0,205.3,34.9,5.0,9,1.35,1,624.9,64.75
0,0,0,211.0,35.87,4.7,4,1.27,3,523.0,58.75
0,0,0,94.1,16.0,9.8,4,2.65,0,579.4,51.71
1,0,0,159.7,27.15,13.9,6,3.75,0,478.79999999999995,53.16
0,0,0,168.8,28.7,10.9,2,2.94,0,543.4000000000001,57.309999999999995
0,0,0,240.8,40.94,11.6,1,3.13,0,511.0,62.01
0,0,0,255.1,43.37,8.5,5,2.3,3,703.7,75.08
0,0,0,214.2,36.41,5.9,8,1.59,0,568.9,61.84
0,0,0,39.5,6.72,10.0,6,2.7,0,489.6,40.25
0,0,0,185.0,31.45,12.6,2,3.4,2,631.1,63.86
0,0,0,176.1,29.94,9.7,4,2.62,1,585.7,57.99
0,0,0,154.5,26.27,13.4,3,3.62,2,529.0,54.49
0,0,0,265.6,45.15,8.6,2,2.32,1,657.4,72.32999999999998
0,0,0,228.7,38.88,11.8,4,3.19,1,620.9,66.47
0,1,25,129.0,21.93,11.6,5,3.13,1,596.1,57.68
0,0,0,69.1,11.75,6.3,3,1.7,1,387.1,33.22
0,0,0,94.4,16.05,13.1,9,3.54,2,489.2,45.96
0,0,0,176.1,29.94,8.5,6,2.3,2,639.6999999999999,61.089999999999996
0,0,0,143.8,24.45,12.9,4,3.48,3,603.3,55.97
0,1,33,146.6,24.92,2.9,7,0.78,0,481.79999999999995,45.38
0,0,0,111.7,18.99,13.1,6,3.54,1,602.5,54.10999999999999
0,0,0,162.1,27.56,11.0,9,2.97,5,506.8,52.24999999999999
0,0,0,260.9,44.35,13.3,5,3.59,3,607.7,70.28
1,0,0,243.2,41.34,7.2,4,1.94,4,485.1,60.05
0,0,0,211.1,35.89,14.7,7,3.97,4,609.3,64.85
0,0,0,157.6,26.79,9.4,10,2.54,5,583.2,56.25
0,0,0,118.7,20.18,10.4,6,2.81,3,496.0,48.17
